78039 silly lifecycle is-binary-path@1.0.1~preinstall: no script for preinstall, continuing
79785 verbose linkBins batch@0.5.3
79786 verbose linkMans batch@0.5.3
79787 silly build beeper@1.1.1
79788 info linkStuff beeper@1.1.1
79789 silly linkStuff beeper@1.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79790 verbose linkBins beeper@1.1.1
79791 verbose linkMans beeper@1.1.1
79792 silly build binary-extensions@1.11.0
79793 info linkStuff binary-extensions@1.11.0
79794 silly linkStuff binary-extensions@1.11.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79795 verbose linkBins binary-extensions@1.11.0
79796 verbose linkMans binary-extensions@1.11.0
79797 silly build blob@0.0.4
79798 info linkStuff blob@0.0.4
79799 silly linkStuff blob@0.0.4 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79800 verbose linkBins blob@0.0.4
79801 verbose linkMans blob@0.0.4
79802 silly build bluebird@3.5.1
79803 info linkStuff bluebird@3.5.1
79804 silly linkStuff bluebird@3.5.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79805 verbose linkBins bluebird@3.5.1
79806 verbose linkMans bluebird@3.5.1
79807 silly build ansi-regex@3.0.0
79808 info linkStuff ansi-regex@3.0.0
79809 silly linkStuff ansi-regex@3.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\boxen\node_modules as its parent node_modules
79810 verbose linkBins ansi-regex@3.0.0
79811 verbose linkMans ansi-regex@3.0.0
79812 silly build camelcase@4.1.0
79813 info linkStuff camelcase@4.1.0
79814 silly linkStuff camelcase@4.1.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\boxen\node_modules as its parent node_modules
79815 verbose linkBins camelcase@4.1.0
79816 verbose linkMans camelcase@4.1.0
79817 silly build is-fullwidth-code-point@2.0.0
79818 info linkStuff is-fullwidth-code-point@2.0.0
79819 silly linkStuff is-fullwidth-code-point@2.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\boxen\node_modules as its parent node_modules
79820 verbose linkBins is-fullwidth-code-point@2.0.0
79821 verbose linkMans is-fullwidth-code-point@2.0.0
79822 silly build strip-ansi@4.0.0
79823 info linkStuff strip-ansi@4.0.0
79824 silly linkStuff strip-ansi@4.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\boxen\node_modules as its parent node_modules
79825 verbose linkBins strip-ansi@4.0.0
79826 verbose linkMans strip-ansi@4.0.0
79827 silly build string-width@2.1.1
79828 info linkStuff string-width@2.1.1
79829 silly linkStuff string-width@2.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\boxen\node_modules as its parent node_modules
79830 verbose linkBins string-width@2.1.1
79831 verbose linkMans string-width@2.1.1
79832 silly build bs-recipes@1.3.4
79833 info linkStuff bs-recipes@1.3.4
79834 silly linkStuff bs-recipes@1.3.4 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79835 verbose linkBins bs-recipes@1.3.4
79836 verbose linkMans bs-recipes@1.3.4
79837 silly build buffer-equal@1.0.0
79838 info linkStuff buffer-equal@1.0.0
79839 silly linkStuff buffer-equal@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79840 verbose linkBins buffer-equal@1.0.0
79841 verbose linkMans buffer-equal@1.0.0
79842 silly build append-buffer@1.0.2
79843 info linkStuff append-buffer@1.0.2
79844 silly linkStuff append-buffer@1.0.2 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79845 verbose linkBins append-buffer@1.0.2
79846 verbose linkMans append-buffer@1.0.2
79847 silly build buildjs.core@0.1.2
79848 info linkStuff buildjs.core@0.1.2
79849 silly linkStuff buildjs.core@0.1.2 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79850 verbose linkBins buildjs.core@0.1.2
79851 verbose linkMans buildjs.core@0.1.2
79852 silly build builtin-modules@1.1.1
79853 info linkStuff builtin-modules@1.1.1
79854 silly linkStuff builtin-modules@1.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79855 verbose linkBins builtin-modules@1.1.1
79856 verbose linkMans builtin-modules@1.1.1
79857 silly build isobject@3.0.1
79858 info linkStuff isobject@3.0.1
79859 silly linkStuff isobject@3.0.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\cache-base\node_modules as its parent node_modules
79860 verbose linkBins isobject@3.0.1
79861 verbose linkMans isobject@3.0.1
79862 silly build callsite@1.0.0
79863 info linkStuff callsite@1.0.0
79864 silly linkStuff callsite@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79865 verbose linkBins callsite@1.0.0
79866 verbose linkMans callsite@1.0.0
79867 silly build better-assert@1.0.2
79868 info linkStuff better-assert@1.0.2
79869 silly linkStuff better-assert@1.0.2 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79870 verbose linkBins better-assert@1.0.2
79871 verbose linkMans better-assert@1.0.2
79872 silly build camelcase@1.2.1
79873 info linkStuff camelcase@1.2.1
79874 silly linkStuff camelcase@1.2.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79875 verbose linkBins camelcase@1.2.1
79876 verbose linkMans camelcase@1.2.1
79877 silly build camelcase@2.1.1
79878 info linkStuff camelcase@2.1.1
79879 silly linkStuff camelcase@2.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\camelcase-keys\node_modules as its parent node_modules
79880 verbose linkBins camelcase@2.1.1
79881 verbose linkMans camelcase@2.1.1
79882 silly build caniuse-lite@1.0.30000790
79883 info linkStuff caniuse-lite@1.0.30000790
79884 silly linkStuff caniuse-lite@1.0.30000790 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79885 verbose linkBins caniuse-lite@1.0.30000790
79886 verbose linkMans caniuse-lite@1.0.30000790
79887 silly build capture-stack-trace@1.0.0
79888 info linkStuff capture-stack-trace@1.0.0
79889 silly linkStuff capture-stack-trace@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79890 verbose linkBins capture-stack-trace@1.0.0
79891 verbose linkMans capture-stack-trace@1.0.0
79892 silly build caseless@0.12.0
79893 info linkStuff caseless@0.12.0
79894 silly linkStuff caseless@0.12.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79895 verbose linkBins caseless@0.12.0
79896 verbose linkMans caseless@0.12.0
79897 silly build isobject@3.0.1
79898 info linkStuff isobject@3.0.1
79899 silly linkStuff isobject@3.0.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\class-utils\node_modules as its parent node_modules
79900 verbose linkBins isobject@3.0.1
79901 verbose linkMans isobject@3.0.1
79902 silly build kind-of@5.1.0
79903 info linkStuff kind-of@5.1.0
79904 silly linkStuff kind-of@5.1.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\class-utils\node_modules as its parent node_modules
79905 verbose linkBins kind-of@5.1.0
79906 verbose linkMans kind-of@5.1.0
79907 silly build cli-boxes@1.0.0
79908 info linkStuff cli-boxes@1.0.0
79909 silly linkStuff cli-boxes@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79910 verbose linkBins cli-boxes@1.0.0
79911 verbose linkMans cli-boxes@1.0.0
79912 silly build clone@2.1.1
79913 info linkStuff clone@2.1.1
79914 silly linkStuff clone@2.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79915 verbose linkBins clone@2.1.1
79916 verbose linkMans clone@2.1.1
79917 silly build clone-buffer@1.0.0
79918 info linkStuff clone-buffer@1.0.0
79919 silly linkStuff clone-buffer@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79920 verbose linkBins clone-buffer@1.0.0
79921 verbose linkMans clone-buffer@1.0.0
79922 silly build clone-stats@1.0.0
79923 info linkStuff clone-stats@1.0.0
79924 silly linkStuff clone-stats@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79925 verbose linkBins clone-stats@1.0.0
79926 verbose linkMans clone-stats@1.0.0
79927 silly build co@4.6.0
79928 info linkStuff co@4.6.0
79929 silly linkStuff co@4.6.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79930 verbose linkBins co@4.6.0
79931 verbose linkMans co@4.6.0
79932 silly build code-point-at@1.1.0
79933 info linkStuff code-point-at@1.1.0
79934 silly linkStuff code-point-at@1.1.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79935 verbose linkBins code-point-at@1.1.0
79936 verbose linkMans code-point-at@1.1.0
79937 silly build color-name@1.1.3
79938 info linkStuff color-name@1.1.3
79939 silly linkStuff color-name@1.1.3 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79940 verbose linkBins color-name@1.1.3
79941 verbose linkMans color-name@1.1.3
79942 silly build color-convert@1.9.1
79943 info linkStuff color-convert@1.9.1
79944 silly linkStuff color-convert@1.9.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79945 verbose linkBins color-convert@1.9.1
79946 verbose linkMans color-convert@1.9.1
79947 silly build ansi-styles@3.2.0
79948 info linkStuff ansi-styles@3.2.0
79949 silly linkStuff ansi-styles@3.2.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\boxen\node_modules as its parent node_modules
79950 verbose linkBins ansi-styles@3.2.0
79951 verbose linkMans ansi-styles@3.2.0
79952 silly build color-support@1.1.3
79953 info linkStuff color-support@1.1.3
79954 silly linkStuff color-support@1.1.3 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79955 verbose linkBins color-support@1.1.3
79956 verbose link bins [ { 'color-support': 'bin.js' },
79956 verbose link bins   'D:\\FrontEnd\\Gemany\\Inkluviva\\toIteria\\node_modules\\.bin',
79956 verbose link bins   false ]
79957 verbose linkMans color-support@1.1.3
79958 silly build commander@2.13.0
79959 info linkStuff commander@2.13.0
79960 silly linkStuff commander@2.13.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79961 verbose linkBins commander@2.13.0
79962 verbose linkMans commander@2.13.0
79963 silly build component-bind@1.0.0
79964 info linkStuff component-bind@1.0.0
79965 silly linkStuff component-bind@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79966 verbose linkBins component-bind@1.0.0
79967 verbose linkMans component-bind@1.0.0
79968 silly build component-emitter@1.2.1
79969 info linkStuff component-emitter@1.2.1
79970 silly linkStuff component-emitter@1.2.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79971 verbose linkBins component-emitter@1.2.1
79972 verbose linkMans component-emitter@1.2.1
79973 silly build component-inherit@0.0.3
79974 info linkStuff component-inherit@0.0.3
79975 silly linkStuff component-inherit@0.0.3 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79976 verbose linkBins component-inherit@0.0.3
79977 verbose linkMans component-inherit@0.0.3
79978 silly build concat-map@0.0.1
79979 info linkStuff concat-map@0.0.1
79980 silly linkStuff concat-map@0.0.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79981 verbose linkBins concat-map@0.0.1
79982 verbose linkMans concat-map@0.0.1
79983 silly build brace-expansion@1.1.8
79984 info linkStuff brace-expansion@1.1.8
79985 silly linkStuff brace-expansion@1.1.8 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79986 verbose linkBins brace-expansion@1.1.8
79987 verbose linkMans brace-expansion@1.1.8
79988 silly build source-map@0.6.1
79989 info linkStuff source-map@0.6.1
79990 silly linkStuff source-map@0.6.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\concat-with-sourcemaps\node_modules as its parent node_modules
79991 verbose linkBins source-map@0.6.1
79992 verbose linkMans source-map@0.6.1
79993 silly build concat-with-sourcemaps@1.0.5
79994 info linkStuff concat-with-sourcemaps@1.0.5
79995 silly linkStuff concat-with-sourcemaps@1.0.5 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
79996 verbose linkBins concat-with-sourcemaps@1.0.5
79997 verbose linkMans concat-with-sourcemaps@1.0.5
79998 silly build connect-history-api-fallback@1.5.0
79999 info linkStuff connect-history-api-fallback@1.5.0
80000 silly linkStuff connect-history-api-fallback@1.5.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80001 verbose linkBins connect-history-api-fallback@1.5.0
80002 verbose linkMans connect-history-api-fallback@1.5.0
80003 silly build ms@0.7.1
80004 info linkStuff ms@0.7.1
80005 silly linkStuff ms@0.7.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\connect\node_modules as its parent node_modules
80006 verbose linkBins ms@0.7.1
80007 verbose linkMans ms@0.7.1
80008 silly build debug@2.2.0
80009 info linkStuff debug@2.2.0
80010 silly linkStuff debug@2.2.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\connect\node_modules as its parent node_modules
80011 verbose linkBins debug@2.2.0
80012 verbose linkMans debug@2.2.0
80013 silly build console-control-strings@1.1.0
80014 info linkStuff console-control-strings@1.1.0
80015 silly linkStuff console-control-strings@1.1.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80016 verbose linkBins console-control-strings@1.1.0
80017 verbose linkMans console-control-strings@1.1.0
80018 silly build convert-source-map@1.5.1
80019 info linkStuff convert-source-map@1.5.1
80020 silly linkStuff convert-source-map@1.5.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80021 verbose linkBins convert-source-map@1.5.1
80022 verbose linkMans convert-source-map@1.5.1
80023 silly build cookie@0.3.1
80024 info linkStuff cookie@0.3.1
80025 silly linkStuff cookie@0.3.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80026 verbose linkBins cookie@0.3.1
80027 verbose linkMans cookie@0.3.1
80028 silly build copy-descriptor@0.1.1
80029 info linkStuff copy-descriptor@0.1.1
80030 silly linkStuff copy-descriptor@0.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80031 verbose linkBins copy-descriptor@0.1.1
80032 verbose linkMans copy-descriptor@0.1.1
80033 silly build core-util-is@1.0.2
80034 info linkStuff core-util-is@1.0.2
80035 silly linkStuff core-util-is@1.0.2 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80036 verbose linkBins core-util-is@1.0.2
80037 verbose linkMans core-util-is@1.0.2
80038 silly build create-error-class@3.0.2
80039 info linkStuff create-error-class@3.0.2
80040 silly linkStuff create-error-class@3.0.2 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80041 verbose linkBins create-error-class@3.0.2
80042 verbose linkMans create-error-class@3.0.2
80043 silly build crypto-random-string@1.0.0
80044 info linkStuff crypto-random-string@1.0.0
80045 silly linkStuff crypto-random-string@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80046 verbose linkBins crypto-random-string@1.0.0
80047 verbose linkMans crypto-random-string@1.0.0
80048 silly build atob@1.1.3
80049 info linkStuff atob@1.1.3
80050 silly linkStuff atob@1.1.3 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\css\node_modules as its parent node_modules
80051 verbose linkBins atob@1.1.3
80052 verbose link bins [ { atob: 'bin/atob.js' },
80052 verbose link bins   'D:\\FrontEnd\\Gemany\\Inkluviva\\toIteria\\node_modules\\css\\node_modules\\.bin',
80052 verbose link bins   false ]
80053 verbose linkMans atob@1.1.3
80054 silly build source-map@0.1.43
80055 info linkStuff source-map@0.1.43
80056 silly linkStuff source-map@0.1.43 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\css\node_modules as its parent node_modules
80057 verbose linkBins source-map@0.1.43
80058 verbose linkMans source-map@0.1.43
80059 silly build source-map-url@0.3.0
80060 info linkStuff source-map-url@0.3.0
80061 silly linkStuff source-map-url@0.3.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\css\node_modules as its parent node_modules
80062 verbose linkBins source-map-url@0.3.0
80063 verbose linkMans source-map-url@0.3.0
80064 silly build currently-unhandled@0.4.1
80065 info linkStuff currently-unhandled@0.4.1
80066 silly linkStuff currently-unhandled@0.4.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80067 verbose linkBins currently-unhandled@0.4.1
80068 verbose linkMans currently-unhandled@0.4.1
80069 silly build assert-plus@1.0.0
80070 info linkStuff assert-plus@1.0.0
80071 silly linkStuff assert-plus@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\dashdash\node_modules as its parent node_modules
80072 verbose linkBins assert-plus@1.0.0
80073 verbose linkMans assert-plus@1.0.0
80074 silly build dashdash@1.14.1
80075 info linkStuff dashdash@1.14.1
80076 silly linkStuff dashdash@1.14.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80077 verbose linkBins dashdash@1.14.1
80078 verbose linkMans dashdash@1.14.1
80079 silly build dateformat@2.2.0
80080 info linkStuff dateformat@2.2.0
80081 silly linkStuff dateformat@2.2.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80082 verbose linkBins dateformat@2.2.0
80083 verbose linkMans dateformat@2.2.0
80084 silly build decamelize@1.2.0
80085 info linkStuff decamelize@1.2.0
80086 silly linkStuff decamelize@1.2.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80087 verbose linkBins decamelize@1.2.0
80088 verbose linkMans decamelize@1.2.0
80089 silly build decode-uri-component@0.2.0
80090 info linkStuff decode-uri-component@0.2.0
80091 silly linkStuff decode-uri-component@0.2.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80092 verbose linkBins decode-uri-component@0.2.0
80093 verbose linkMans decode-uri-component@0.2.0
80094 silly build deep-extend@0.4.2
80095 info linkStuff deep-extend@0.4.2
80096 silly linkStuff deep-extend@0.4.2 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80097 verbose linkBins deep-extend@0.4.2
80098 verbose linkMans deep-extend@0.4.2
80099 silly build kind-of@5.1.0
80100 info linkStuff kind-of@5.1.0
80101 silly linkStuff kind-of@5.1.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\default-compare\node_modules as its parent node_modules
80102 verbose linkBins kind-of@5.1.0
80103 verbose linkMans kind-of@5.1.0
80104 silly build default-compare@1.0.0
80105 info linkStuff default-compare@1.0.0
80106 silly linkStuff default-compare@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80107 verbose linkBins default-compare@1.0.0
80108 verbose linkMans default-compare@1.0.0
80109 silly build default-resolution@2.0.0
80110 info linkStuff default-resolution@2.0.0
80111 silly linkStuff default-resolution@2.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80112 verbose linkBins default-resolution@2.0.0
80113 verbose linkMans default-resolution@2.0.0
80114 silly build delayed-stream@1.0.0
80115 info linkStuff delayed-stream@1.0.0
80116 silly linkStuff delayed-stream@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80117 verbose linkBins delayed-stream@1.0.0
80118 verbose linkMans delayed-stream@1.0.0
80119 silly build combined-stream@1.0.5
80120 info linkStuff combined-stream@1.0.5
80121 silly linkStuff combined-stream@1.0.5 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80122 verbose linkBins combined-stream@1.0.5
80123 verbose linkMans combined-stream@1.0.5
80124 silly build delegates@1.0.0
80125 info linkStuff delegates@1.0.0
80126 silly linkStuff delegates@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80127 verbose linkBins delegates@1.0.0
80128 verbose linkMans delegates@1.0.0
80129 silly build depd@1.1.1
80130 info linkStuff depd@1.1.1
80131 silly linkStuff depd@1.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80132 verbose linkBins depd@1.1.1
80133 verbose linkMans depd@1.1.1
80134 silly build destroy@1.0.4
80135 info linkStuff destroy@1.0.4
80136 silly linkStuff destroy@1.0.4 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80137 verbose linkBins destroy@1.0.4
80138 verbose linkMans destroy@1.0.4
80139 silly build detect-file@1.0.0
80140 info linkStuff detect-file@1.0.0
80141 silly linkStuff detect-file@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80142 verbose linkBins detect-file@1.0.0
80143 verbose linkMans detect-file@1.0.0
80144 silly build detect-newline@2.1.0
80145 info linkStuff detect-newline@2.1.0
80146 silly linkStuff detect-newline@2.1.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80147 verbose linkBins detect-newline@2.1.0
80148 verbose linkMans detect-newline@2.1.0
80149 silly build dev-ip@1.0.1
80150 info linkStuff dev-ip@1.0.1
80151 silly linkStuff dev-ip@1.0.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80152 verbose linkBins dev-ip@1.0.1
80153 verbose link bins [ { 'dev-ip': 'lib/dev-ip.js' },
80153 verbose link bins   'D:\\FrontEnd\\Gemany\\Inkluviva\\toIteria\\node_modules\\.bin',
80153 verbose link bins   false ]
80154 verbose linkMans dev-ip@1.0.1
80155 silly build diveSync@0.3.0
80156 info linkStuff diveSync@0.3.0
80157 silly linkStuff diveSync@0.3.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80158 verbose linkBins diveSync@0.3.0
80159 verbose linkMans diveSync@0.3.0
80160 silly build duplexer@0.1.1
80161 info linkStuff duplexer@0.1.1
80162 silly linkStuff duplexer@0.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80163 verbose linkBins duplexer@0.1.1
80164 verbose linkMans duplexer@0.1.1
80165 silly build isarray@0.0.1
80166 info linkStuff isarray@0.0.1
80167 silly linkStuff isarray@0.0.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\duplexer2\node_modules as its parent node_modules
80168 verbose linkBins isarray@0.0.1
80169 verbose linkMans isarray@0.0.1
80170 silly build string_decoder@0.10.31
80171 info linkStuff string_decoder@0.10.31
80172 silly linkStuff string_decoder@0.10.31 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules\duplexer2\node_modules as its parent node_modules
80173 verbose linkBins string_decoder@0.10.31
80174 verbose linkMans string_decoder@0.10.31
80175 silly build duplexer3@0.1.4
80176 info linkStuff duplexer3@0.1.4
80177 silly linkStuff duplexer3@0.1.4 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80178 verbose linkBins duplexer3@0.1.4
80179 verbose linkMans duplexer3@0.1.4
80180 silly build ee-first@1.1.1
80181 info linkStuff ee-first@1.1.1
80182 silly linkStuff ee-first@1.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80183 verbose linkBins ee-first@1.1.1
80184 verbose linkMans ee-first@1.1.1
80185 silly build electron-releases@2.1.0
80186 info linkStuff electron-releases@2.1.0
80187 silly linkStuff electron-releases@2.1.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80188 verbose linkBins electron-releases@2.1.0
80189 verbose linkMans electron-releases@2.1.0
80190 silly build electron-to-chromium@1.3.30
80191 info linkStuff electron-to-chromium@1.3.30
80192 silly linkStuff electron-to-chromium@1.3.30 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80193 verbose linkBins electron-to-chromium@1.3.30
80194 verbose linkMans electron-to-chromium@1.3.30
80195 silly build browserslist@2.11.1
80196 info linkStuff browserslist@2.11.1
80197 silly linkStuff browserslist@2.11.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80198 verbose linkBins browserslist@2.11.1
80199 verbose link bins [ { browserslist: './cli.js' },
80199 verbose link bins   'D:\\FrontEnd\\Gemany\\Inkluviva\\toIteria\\node_modules\\.bin',
80199 verbose link bins   false ]
80200 verbose linkMans browserslist@2.11.1
80201 silly build emitter-steward@1.0.0
80202 info linkStuff emitter-steward@1.0.0
80203 silly linkStuff emitter-steward@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80204 verbose linkBins emitter-steward@1.0.0
80205 verbose linkMans emitter-steward@1.0.0
80206 silly build encodeurl@1.0.1
80207 info linkStuff encodeurl@1.0.1
80208 silly linkStuff encodeurl@1.0.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80209 verbose linkBins encodeurl@1.0.1
80210 verbose linkMans encodeurl@1.0.1
80211 silly build entities@1.1.1
80212 info linkStuff entities@1.1.1
80213 silly linkStuff entities@1.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80214 verbose linkBins entities@1.1.1
80215 verbose linkMans entities@1.1.1
80216 silly build es6-symbol@3.1.1
80217 info linkStuff es6-symbol@3.1.1
80218 silly linkStuff es6-symbol@3.1.1 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80219 verbose linkBins es6-symbol@3.1.1
80220 verbose linkMans es6-symbol@3.1.1
80221 silly build es6-iterator@2.0.3
80222 info linkStuff es6-iterator@2.0.3
80223 silly linkStuff es6-iterator@2.0.3 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80224 verbose linkBins es6-iterator@2.0.3
80225 verbose linkMans es6-iterator@2.0.3
80226 silly build es5-ext@0.10.37
80227 info linkStuff es5-ext@0.10.37
80228 silly linkStuff es5-ext@0.10.37 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80229 verbose linkBins es5-ext@0.10.37
80230 verbose linkMans es5-ext@0.10.37
80231 silly build d@1.0.0
80232 info linkStuff d@1.0.0
80233 silly linkStuff d@1.0.0 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80234 verbose linkBins d@1.0.0
80235 verbose linkMans d@1.0.0
80236 silly build es6-weak-map@2.0.2
80237 info linkStuff es6-weak-map@2.0.2
80238 silly linkStuff es6-weak-map@2.0.2 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80239 verbose linkBins es6-weak-map@2.0.2
80240 verbose linkMans es6-weak-map@2.0.2
80241 silly build escape-html@1.0.3
80242 info linkStuff escape-html@1.0.3
80243 silly linkStuff escape-html@1.0.3 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80244 verbose linkBins escape-html@1.0.3
80245 verbose linkMans escape-html@1.0.3
80246 silly build escape-string-regexp@1.0.5
80247 info linkStuff escape-string-regexp@1.0.5
80248 silly linkStuff escape-string-regexp@1.0.5 has D:\FrontEnd\Gemany\Inkluviva\toIteria\node_modules as its parent node_modules
80249 verbose linkBins escape-string-regexp@1.0.5
80250 verbose linkMans escape-string-regexp@1.0.5
80251 silly build esprima@4.0.0
